Original_faststructure_order	ID	New_Order	Sub_order	Continent	Country
1	Pr_1	364	A095	North_America	USA
2	Pr_10	365	A096	North_America	USA
3	Pr_1010	513	A	Australasia	New_Zealand
4	Pr_1022	310	A041	North_America	USA
5	Pr_1023	311	A042	North_America	USA
6	Pr_1024	308	A039	North_America	USA
7	Pr_1026	312	A043	North_America	USA
8	Pr_1030	313	A044	North_America	USA
9	Pr_1032	309	A040	North_America	USA
10	Pr_1033	314	A045	North_America	USA
11	Pr_1046	315	A046	North_America	USA
12	Pr_1048	316	A047	North_America	USA
13	Pr_1049	317	A048	North_America	USA
14	Pr_1050	318	A049	North_America	USA
15	Pr_1078	515	B	Australasia	Australia
16	Pr_1086	516	B	Australasia	Australia
17	Pr_1093	517	B	Australasia	Australia
18	Pr_1109	529	C	Australasia	Australia
19	Pr_1120	530	C	Australasia	Australia
20	Pr_1121	531	C	Australasia	Australia
21	Pr_1125	381	A112	North_America	USA
22	Pr_1134	382	A113	North_America	USA
23	Pr_1142	485	A216	North_America	USA
24	Pr_1143	406	A137	North_America	USA
25	Pr_1149	410	A141	North_America	USA
26	Pr_115	472	A203	North_America	USA
27	Pr_1150	411	A142	North_America	USA
28	Pr_1155	233	S	Europe	Gibraltar
29	Pr_1156	546	D	Australasia	Australia
30	Pr_1159	NA	NA	Australasia	NA
31	Pr_116	473	A204	North_America	USA
32	Pr_1160	532	C	Australasia	Australia
33	Pr_1163	17	B	Asia	Taiwan
34	Pr_1164	18	B	Asia	Taiwan
35	Pr_1166	19	B	Asia	Taiwan
36	Pr_1171	20	B	Asia	Taiwan
37	Pr_1173	21	B	Asia	Taiwan
38	Pr_1175	22	B	Asia	Taiwan
39	Pr_1176	23	B	Asia	Taiwan
40	Pr_1179	24	B	Asia	Taiwan
41	Pr_1180	25	B	Asia	Taiwan
42	Pr_1181	26	B	Asia	Taiwan
43	Pr_1184	27	B	Asia	Taiwan
44	Pr_1206	483	A214	North_America	USA
45	Pr_1207	484	A215	North_America	USA
46	Pr_1209	482	A213	North_America	USA
47	Pr_1211	533	C	Australasia	Australia
48	Pr_1213	534	C	Australasia	Australia
49	Pr_1215	535	C	Australasia	Australia
50	Pr_1216	536	C	Australasia	Australia
51	Pr_1217	537	C	Australasia	Australia
52	Pr_1230	486	A217	North_America	USA
53	Pr_1231	487	A218	North_America	USA
54	Pr_1232	504	A	Australasia	New_Zealand
55	Pr_1238	505	A	Australasia	New_Zealand
56	Pr_1245	506	A	Australasia	New_Zealand
57	Pr_125	446	A177	North_America	USA
58	Pr_1251	507	A	Australasia	New_Zealand
59	Pr_1252	508	A	Australasia	New_Zealand
60	Pr_1259	509	A	Australasia	New_Zealand
61	Pr_1260	510	A	Australasia	New_Zealand
62	Pr_1261	511	A	Australasia	New_Zealand
63	Pr_1262	512	A	Australasia	New_Zealand
64	Pr_1269	76	G	Asia	Turkey
65	Pr_1270	77	G	Asia	Turkey
66	Pr_1272	78	G	Asia	Turkey
67	Pr_1275	79	G	Asia	Turkey
68	Pr_1276	80	G	Asia	Turkey
69	Pr_1278	81	G	Asia	Turkey
70	Pr_1279	82	G	Asia	Turkey
71	Pr_1282	518	B	Australasia	Australia
72	Pr_1308	519	B	Australasia	Australia
73	Pr_131	447	A178	North_America	USA
74	Pr_1326	520	B	Australasia	Australia
75	Pr_1327	521	B	Australasia	Australia
76	Pr_1333	522	B	Australasia	Australia
77	Pr_1347	290	A021	North_America	USA
78	Pr_1348	291	A022	North_America	USA
79	Pr_1349	292	A023	North_America	USA
80	Pr_1352	293	A024	North_America	USA
81	Pr_1354	294	A025	North_America	USA
82	Pr_1355	295	A026	North_America	USA
83	Pr_1356	296	A027	North_America	USA
84	Pr_1358	412	A143	North_America	Canada
85	Pr_1360	413	A144	North_America	Canada
86	Pr_1361	414	A145	North_America	Canada
87	Pr_1363	415	A146	North_America	Canada
88	Pr_1364	416	A147	North_America	Canada
89	Pr_1365	417	A148	North_America	Canada
90	Pr_1366	418	A149	North_America	Canada
91	Pr_1367	419	A150	North_America	Canada
92	Pr_1376	153	L	Europe	Austria
93	Pr_1381	166	N	Europe	Italy
94	Pr_1382	167	N	Europe	Italy
95	Pr_1383	168	N	Europe	Italy
96	Pr_1384	169	N	Europe	Italy
97	Pr_1385	170	N	Europe	Italy
98	Pr_1386	171	N	Europe	Italy
99	Pr_1394	383	A114	North_America	USA
100	Pr_1403	384	A115	North_America	USA
101	Pr_1432	270	A001	North_America	USA
102	Pr_1434	276	A007	North_America	USA
103	Pr_1435	277	A008	North_America	USA
104	Pr_1436	271	A002	North_America	USA
105	Pr_1437	272	A003	North_America	USA
106	Pr_1438	273	A004	North_America	USA
107	Pr_1439	274	A005	North_America	USA
108	Pr_1440	275	A006	North_America	USA
109	Pr_1459	375	A106	North_America	USA
110	Pr_1460	376	A107	North_America	USA
111	Pr_1461	377	A108	North_America	USA
112	Pr_1466	428	A159	North_America	USA
113	Pr_1468	429	A160	North_America	USA
114	Pr_1472	385	A116	North_America	USA
115	Pr_1478	386	A117	North_America	USA
116	Pr_1488	387	A118	North_America	USA
117	Pr_1491	388	A119	North_America	USA
118	Pr_1496	389	A120	North_America	USA
119	Pr_1497	390	A121	North_America	USA
120	Pr_1498	547	D	Australasia	Australia
121	Pr_1499	548	D	Australasia	Australia
122	Pr_1502	549	D	Australasia	Australia
123	Pr_1503	550	D	Australasia	Australia
124	Pr_1504	551	D	Australasia	Australia
125	Pr_1507	552	D	Australasia	Australia
126	Pr_1509	553	D	Australasia	Australia
127	Pr_151	460	A191	North_America	USA
128	Pr_1513	538	C	Australasia	Australia
129	Pr_1514	539	C	Australasia	Australia
130	Pr_1515	514	A	Australasia	New_Zealand
131	Pr_152	461	A192	North_America	USA
132	Pr_1526	523	B	Australasia	Australia
133	Pr_1527	524	B	Australasia	Australia
134	Pr_1528	525	B	Australasia	Australia
135	Pr_1529	526	B	Australasia	Australia
136	Pr_154	462	A193	North_America	USA
137	Pr_168	443	A174	North_America	USA
138	Pr_169	444	A175	North_America	USA
139	Pr_170	445	A176	North_America	USA
140	Pr_171	434	A165	North_America	USA
141	Pr_176	435	A166	North_America	USA
142	Pr_177	436	A167	North_America	USA
143	Pr_178	437	A168	North_America	USA
144	Pr_179	438	A169	North_America	USA
145	Pr_180	439	A170	North_America	USA
146	Pr_1800	392	A123	North_America	USA
147	Pr_1801	393	A124	North_America	USA
148	Pr_1802	394	A125	North_America	USA
149	Pr_1803	395	A126	North_America	USA
150	Pr_1804	396	A127	North_America	USA
151	Pr_1806	397	A128	North_America	USA
152	Pr_181	440	A171	North_America	USA
153	Pr_1810	527	B	Australasia	Australia
154	Pr_1814	528	B	Australasia	Australia
155	Pr_182	441	A172	North_America	USA
156	Pr_183	442	A173	North_America	USA
157	Pr_1834	341	A072	North_America	USA
158	Pr_1835	342	A073	North_America	USA
159	Pr_1836	343	A074	North_America	USA
160	Pr_1837	344	A075	North_America	USA
161	Pr_1838	345	A076	North_America	USA
162	Pr_1839	346	A077	North_America	USA
163	Pr_1840	347	A078	North_America	USA
164	Pr_1841	348	A079	North_America	USA
165	Pr_1842	349	A080	North_America	USA
166	Pr_1843	350	A081	North_America	USA
167	Pr_1844	333	A064	North_America	USA
168	Pr_1845	540	C	Australasia	Australia
169	Pr_1848	541	C	Australasia	Australia
170	Pr_1849	542	C	Australasia	Australia
171	Pr_1850	543	C	Australasia	Australia
172	Pr_1851	544	C	Australasia	Australia
173	Pr_1852	545	C	Australasia	Australia
174	Pr_1856	380	A111	North_America	USA
175	Pr_1865	339	A070	North_America	USA
176	Pr_1868	340	A071	North_America	USA
177	Pr_1876	378	A109	North_America	USA
178	Pr_1877	468	A199	North_America	USA
179	Pr_1878	180	O	Europe	England
180	Pr_1879	181	O	Europe	England
181	Pr_1880	182	O	Europe	England
182	Pr_1881	183	O	Europe	England
183	Pr_1882	184	O	Europe	England
184	Pr_1883	185	O	Europe	England
185	Pr_1884	186	O	Europe	England
186	Pr_1885	187	O	Europe	England
187	Pr_1886	188	O	Europe	England
188	Pr_1887	189	O	Europe	England
189	Pr_1888	190	O	Europe	England
190	Pr_1889	191	O	Europe	England
191	Pr_1890	192	O	Europe	England
192	Pr_1891	193	O	Europe	England
193	Pr_1892	194	O	Europe	England
194	Pr_1895	325	A056	North_America	USA
195	Pr_1896	326	A057	North_America	USA
196	Pr_1899	405	A136	North_America	USA
197	Pr_1901	404	A135	North_America	USA
198	Pr_1915	246	U	Africa	Algeria
199	Pr_1916	247	U	Africa	Algeria
200	Pr_1917	172	N	Europe	Italy
201	Pr_1918	200	P	Europe	France
202	Pr_1919	201	P	Europe	France
203	Pr_1920	202	P	Europe	France
204	Pr_1921	258	V	Africa	Tunisia
