INDV	N_DATA	N_GENOTYPES_FILTERED	N_MISS	F_MISS	Species	Admix_K7_pops_outgroups_num	Country	IND_ID
Pr_1	22059	0	565	0.0256131	Pieris_rapae	4	USA	Pr_1_USA_K_4
Pr_10	22059	0	256	0.0116052	Pieris_rapae	4	USA	Pr_10_USA_K_4
Pr_1010	22059	0	491	0.0222585	Pieris_rapae	3	New_Zealand	Pr_1010_New_Zealand_K_3
Pr_1022	22059	0	159	0.00720794	Pieris_rapae	4	USA	Pr_1022_USA_K_4
Pr_1023	22059	0	130	0.00589329	Pieris_rapae	4	USA	Pr_1023_USA_K_4
Pr_1024	22059	0	158	0.00716261	Pieris_rapae	4	USA	Pr_1024_USA_K_4
Pr_1026	22059	0	150	0.00679995	Pieris_rapae	4	USA	Pr_1026_USA_K_4
Pr_1030	22059	0	1217	0.0551702	Pieris_rapae	4	USA	Pr_1030_USA_K_4
Pr_1032	22059	0	195	0.00883993	Pieris_rapae	4	USA	Pr_1032_USA_K_4
Pr_1033	22059	0	475	0.0215332	Pieris_rapae	4	USA	Pr_1033_USA_K_4
Pr_1046	22059	0	186	0.00843193	Pieris_rapae	4	USA	Pr_1046_USA_K_4
Pr_1048	22059	0	147	0.00666395	Pieris_rapae	4	USA	Pr_1048_USA_K_4
Pr_1049	22059	0	114	0.00516796	Pieris_rapae	4	USA	Pr_1049_USA_K_4
Pr_1050	22059	0	2213	0.100322	Pieris_rapae	4	USA	Pr_1050_USA_K_4
Pr_1078	22059	0	2006	0.0909379	Pieris_rapae	3	Australia	Pr_1078_Australia_K_3
Pr_1086	22059	0	830	0.0376264	Pieris_rapae	3	Australia	Pr_1086_Australia_K_3
Pr_1093	22059	0	193	0.00874926	Pieris_rapae	3	Australia	Pr_1093_Australia_K_3
Pr_1109	22059	0	182	0.0082506	Pieris_rapae	3	Australia	Pr_1109_Australia_K_3
Pr_1120	22059	0	1151	0.0521782	Pieris_rapae	3	Australia	Pr_1120_Australia_K_3
Pr_1121	22059	0	196	0.00888526	Pieris_rapae	3	Australia	Pr_1121_Australia_K_3
Pr_1125	22059	0	439	0.0199012	Pieris_rapae	4	USA	Pr_1125_USA_K_4
Pr_1134	22059	0	163	0.00738927	Pieris_rapae	4	USA	Pr_1134_USA_K_4
Pr_1142	22059	0	739	0.0335011	Pieris_rapae	4	USA	Pr_1142_USA_K_4
Pr_1143	22059	0	1417	0.0642368	Pieris_rapae	4	USA	Pr_1143_USA_K_4
Pr_1149	22059	0	119	0.00539462	Pieris_rapae	4	USA	Pr_1149_USA_K_4
Pr_115	22059	0	137	0.00621062	Pieris_rapae	5	USA	Pr_115_USA_K_5
Pr_1150	22059	0	135	0.00611995	Pieris_rapae	4	USA	Pr_1150_USA_K_4
Pr_1152	22059	0	14935	0.677048	Pieris_brassicae	9	NA	Pr_1152_NA_K_9
Pr_1153	22059	0	17112	0.775738	Pieris_brassicae	9	NA	Pr_1153_NA_K_9
Pr_1154	22059	0	14920	0.676368	Pieris_brassicae	9	NA	Pr_1154_NA_K_9
Pr_1155	22059	0	2198	0.0996419	Pieris_rapae	2	Gibraltar	Pr_1155_Gibraltar_K_2
Pr_1156	22059	0	198	0.00897593	Pieris_rapae	3	Australia	Pr_1156_Australia_K_3
Pr_1159	22059	0	155	0.00702661	Pieris_rapae	4	NA	Pr_1159_NA_K_4
Pr_116	22059	0	168	0.00761594	Pieris_rapae	5	USA	Pr_116_USA_K_5
Pr_1160	22059	0	353	0.0160025	Pieris_rapae	3	Australia	Pr_1160_Australia_K_3
Pr_1163	22059	0	732	0.0331837	Pieris_rapae	7	Taiwan	Pr_1163_Taiwan_K_7
Pr_1164	22059	0	775	0.0351331	Pieris_rapae	7	Taiwan	Pr_1164_Taiwan_K_7
