subPOP	POP	pi	POP_name	Lat	Long
1.1	POP_1	6.15E-03	Africa	35.73955556	4.783222222
1.2	POP_1	6.27E-03	Africa	34.41636364	-4.636818182
1.3	POP_1	6.06E-03	Africa	35.5408	9.1701
2.1	POP_2	7.48E-03	England	40.61984118	23.60473529
2.2	POP_2	6.26E-03	England	49.5	17
2.3	POP_2	7.05E-03	England	52.01358	0.246583
2.4	POP_2	6.71E-03	England	41.046676	-2.121142237
2.5	POP_2	6.80E-03	England	45.1549084	11.6183669
2.6	POP_2	6.52E-03	England	35.9451	14.3517
2.7	POP_2	7.19E-03	England	52.237175	19.29553333
2.8	POP_2	7.17E-03	England	45.7838186	25.2114368
2.9	POP_2	5.73E-03	England	36.859948	30.767963
3.1	POP_3	4.99E-03	Australia	-34.750618	149.9310165
3.2	POP_3	4.52E-03	Australia	-26.4286805	152.7611458
3.3	POP_3	4.38E-03	Australia	-37.55107757	145.1134831
4.1	POP_4	5.25E-03	USA-E	43.88224219	-69.57737207
4.2	POP_4	5.48E-03	USA-E	38.12466696	-78.62759262
4.3	POP_4	4.82E-03	USA-E	42.18522458	-84.97767738
4.4	POP_4	4.79E-03	USA-E	42.26779217	-103.9629824
4.5	POP_4	6.24E-03	USA-E	52.1188	-106.6489
4.6	POP_4	6.08E-03	USA-E	37.7563048	-85.7514386
4.7	POP_4	4.70E-03	USA-E	32.33582538	-114.0895953
4.8	POP_4	5.56E-03	USA-E	46.560219	-119.9328526
4.9	POP_4	6.26E-03	USA-E	30.85513582	-84.33830464
5.1	POP_5	4.24E-03	USA-W	38.30981789	-121.907735
5.2	POP_5	4.21E-03	USA-W	39.75125634	-119.4004826
5.3	POP_5	4.79E-03	USA-W	20.86654375	-156.975425
6.1	POP_6	4.96E-03	Russia	62.02294217	129.5572713
7.1	POP_7	6.62E-03	Asia	30.23899771	101.8876833
7.2	POP_7	7.40E-03	Asia	41.9397525	41.632939
7.3	POP_7	6.71E-03	Asia	36.61113875	139.6535081
7.4	POP_7	5.57E-03	Asia	24.98343791	121.4786134
8.1	POP_8	4.89E-03	New_Zealand	-37.3909242	175.8934276
