ID,Haplotype,Country,Latitude,Longitude,Source,Color
ANICT928,1,Australia,-38.05,145.684,BOLD,#88A2AA
ANICT930,2,Australia,-35.24,149.23,BOLD,#ADA296
BBLOB566,5,USA,34.75,-112.022,BOLD,#0F1A20
BBLOC1005,2,USA,34.082,-119.013,BOLD,#ADA296
BBLOC1010,2,USA,34.082,-119.013,BOLD,#ADA296
BBLOC1011,3,USA,34.082,-119.013,BOLD,#E2856E
BBLOC1406,3,USA,37.309,-120.93,BOLD,#E2856E
BBLOC1407,3,USA,37.309,-120.93,BOLD,#E2856E
BBLOC1408,3,USA,37.309,-120.93,BOLD,#E2856E
BBLOC1720,3,USA,33.27,-116.418,BOLD,#E2856E
BBLOC1721,2,USA,33.27,-116.418,BOLD,#ADA296
BBLOC972,2,USA,33.402,-117.603,BOLD,#ADA296
BBLOC973 ,5,USA,33.402,-117.603,BOLD,#0F1A20
BBLOC974,2,USA,33.402,-117.603,BOLD,#ADA296
BBLOD121,2,USA,33.563,-117.819,BOLD,#ADA296
BBLOD155,2,USA,33.563,-117.819,BOLD,#ADA296
BBLOD498,3,USA,33.407,-117.584,BOLD,#E2856E
BBLOD499,3,USA,33.407,-117.584,BOLD,#E2856E
BBLOD501,3,USA,37.292,-120.851,BOLD,#E2856E
BBLOD552 ,5,USA,33.407,-117.585,BOLD,#0F1A20
BBLOD932 ,5,USA,26.187,-98.379,BOLD,#0F1A20
BBLOD937 ,5,USA,26.187,-98.379,BOLD,#0F1A20
BBLOE2038,2,USA,34.082,-119.013,BOLD,#ADA296
BBLPA200,2,Canada,52.808,-118.023,BOLD,#ADA296
BBLPA201,3,Canada,53.687,-112.813,BOLD,#E2856E
BBLPC435,4,Canada,46.827,-64.915,BOLD,#F42C04
BBLPC436,4,Canada,46.827,-64.915,BOLD,#F42C04
BIBSA023,47,Italy,39.4433,16.6039,BOLD,#3A2D32
BIBSA024,2,Italy,39.3147,16.5281,BOLD,#ADA296
BIBSA1309,2,Italy,37.068,14.35,BOLD,#ADA296
BIBSA1319,83,Italy,39.15,8.884,BOLD,#F497DA
BIBSA686,2,Italy,39.93,16.17,BOLD,#ADA296
CNPPH807,3,Canada,41.939,-82.516,BOLD,#E2856E
CYTC4718,92,China,31.36,118.39,BOLD,#F497DA
DIMC083,3,Canada,49.218,-107.562,BOLD,#E2856E
DMAZ106,87,Spain,42.708931,0.794117,BOLD,#F497DA
DMML080,3,USA,32.982,-79.787,BOLD,#E2856E
ERPIR300,3,Canada,44.828916,-78.105929,BOLD,#E2856E
EULEP5642,90,Italy,43.43,9.9,BOLD,#F497DA
EZBNB217,4,Canada,57.974,-117.153,BOLD,#F42C04
EZRMN181,2,Romania,44.603,23.291,BOLD,#ADA296
EZRMN183,15,Romania,45.028,28.519,BOLD,#F497DA
EZROM473,1,Romania,46.484,23.721,BOLD,#88A2AA
EZROM474,2,Romania,46.814,23.512,BOLD,#ADA296
EZROM475,1,Romania,45.13,26.626,BOLD,#88A2AA
EZROM476,14,Romania,45.094,26.533,BOLD,#FFCCC9
EZROM477,16,Romania,44.871,22.414,BOLD,#F497DA
EZROM591,17,Romania,47.7,25.717,BOLD,#F497DA
EZROM748,20,Spain,41.737,2.328,BOLD,#F497DA
EZSPC603,2,Spain,41.774,2.38,BOLD,#ADA296
EZSPC608,1,Spain,41.792,2.335,BOLD,#88A2AA
EZSPC663,21,Spain,41.284,1.876,BOLD,#F497DA
EZSPC664,2,Spain,41.438,2.085,BOLD,#ADA296
EZSPC667,2,Spain,41.866,0.598,BOLD,#ADA296
EZSPC747,22,Spain,37.246,-3.686,BOLD,#F9DC5C
EZSPC884,14,Spain,40.157,-3.349,BOLD,#FFCCC9
EZSPC885,23,Spain,40.157,-3.349,BOLD,#F497DA
EZSPC890,14,Spain,40.65,0.761,BOLD,#FFCCC9
EZSPM028,2,Spain,39.815,2.853,BOLD,#ADA296
EZSPM047,14,Spain,39.685,2.761,BOLD,#FFCCC9
EZSPM063,24,Spain,39.57,2.592,BOLD,#F497DA
EZSPM136,14,Spain,43.095,-5.858,BOLD,#FFCCC9
EZSPM213,2,Spain,39.633,2.651,BOLD,#ADA296
EZSPM235,14,Spain,42.013,-8.874,BOLD,#FFCCC9
EZSPM344,5,Spain,40.001,-0.868,BOLD,#0F1A20
