SubPOP	low	mid	high	POP
1.1	2.37	5.474	8.577	Africa
1.2	1.353	5.833	10.314	Africa
1.3	4.386	7.833	11.281	Africa
2.1	15.462	53.631	91.801	Europe
2.2	3.284	18.522	33.76	Europe
2.3	2.807	14.989	27.172	Europe
2.4	7.167	60.503	113.839	Europe
2.5	7.076	40.876	74.676	Europe
2.6	1.798	3	4.202	Europe
2.7	3.55	7.75	11.95	Europe
2.8	2.362	26.182	50.002	Europe
2.9	1.714	7.667	13.619	Europe
2.11	-4.92	27.273	59.466	Europe
2.12	6.215	22.75	39.285	Europe
3.1	2.756	4	5.244	Australia
3.2	2.344	3	3.656	Australia
3.3	1.351	2	2.649	Australia
3.4	1.635	2	2.365	Australia
3.5	1.067	2	2.933	Australia
4.1	2.243	7.65	13.057	USA-E
4.2	2.593	4.977	7.362	USA-E
4.3	1.672	9.22	16.769	USA-E
4.4	3.232	16.687	30.143	USA-E
4.5	1.536	4.474	7.412	USA-E
4.6	0.818	3.474	6.129	USA-E
4.7	2.862	3	3.138	USA-E
4.8	2.435	6.242	10.05	USA-E
4.9	1	1	1	USA-E
4.x	0.042	2.333	4.624	USA-E
5.1	3.847	4.975	6.103	USA-W
5.2	1	1	1	USA-W
5.3	1.059	2	2.941	USA-W
6.1	2.04	3	3.96	Russia
7.1	10.672	38.321	65.97	Asia
7.2	18.7	69.94	121.181	Asia
7.3	1.534	9.091	16.648	Asia
7.4	2.497	3	3.503	Asia
7.5	4.93	15.286	25.641	Asia
8.1	1.052	2	2.948	New_Zealand
