SubPOP	low	mid	high	POP	Lat	Long
1.1	2.37	5.474	8.577	Africa	35.80875732	4.259035105
1.2	1.353	5.833	10.314	Africa	34.1535	-4.902083333
1.3	4.386	7.833	11.281	Africa	35.89588889	9.255
2.1	15.462	53.631	91.801	Europe	40.06038421	23.62055263
2.2	3.284	18.522	33.76	Europe	49.12180435	14.53513043
2.3	2.807	14.989	27.172	Europe	51.91271739	0.001801957
2.4	7.167	60.503	113.839	Europe	40.94120418	-1.589172333
2.5	7.076	40.876	74.676	Europe	40.76105511	12.14787375
2.6	1.798	3	4.202	Europe	35.95	14.344
2.7	3.55	7.75	11.95	Europe	52.237175	19.29553333
2.8	2.362	26.182	50.002	Europe	46.22634364	26.03821355
2.9	1.714	7.667	13.619	Europe	36.859948	30.767963
2.11	-4.92	27.273	59.466	Europe	57.92918032	27.12554182
2.12	6.215	22.75	39.285	Europe	50.271125	11.3800625
3.1	2.756	4	5.244	Australia	-34.44172303	150.127545
3.2	2.344	3	3.656	Australia	-26.42865377	152.7611324
3.3	1.351	2	2.649	Australia	-37.53291522	145.1235576
3.4	1.635	2	2.365	Australia	-41.61453077	146.5771538
3.5	1.067	2	2.933	Australia	-31.98477986	115.8989591
4.1	2.243	7.65	13.057	USA-E	44.04008691	-69.6318211
4.2	2.593	4.977	7.362	USA-E	38.25113491	-78.5994485
4.3	1.672	9.22	16.769	USA-E	43.06800907	-84.93618936
4.4	3.232	16.687	30.143	USA-E	40.03178523	-100.9677206
4.5	1.536	4.474	7.412	USA-E	51.04366316	-106.5168737
4.6	0.818	3.474	6.129	USA-E	37.70980763	-85.76935147
4.7	2.862	3	3.138	USA-E	33.17650332	-116.3696222
4.8	2.435	6.242	10.05	USA-E	47.51189148	-119.4623307
4.9	1	1	1	USA-E	31.60568087	-83.8049838
4.x	0.042	2.333	4.624	USA-E	21.68224467	-102.458706
5.1	3.847	4.975	6.103	USA-W	38.7457337	-121.7660163
5.2	1	1	1	USA-W	39.71592194	-119.312758
5.3	1.059	2	2.941	USA-W	20.86654375	-156.975425
6.1	2.04	3	3.96	Russia	61.82470046	126.8277428
7.1	10.672	38.321	65.97	Asia	26.81305916	110.1507904
7.2	18.7	69.94	121.181	Asia	41.969473	42.57821424
7.3	1.534	9.091	16.648	Asia	36.48205236	139.7806276
7.4	2.497	3	3.503	Asia	24.98322429	121.47955
7.5	4.93	15.286	25.641	Asia	36.30700864	127.5062514
8.1	1.052	2	2.948	New_Zealand	-39.88363112	174.571737
