Bmo_Nscaff	Bmo_Chrom	Bmo_Nscaff_order_within_Chrom
nscaf1022	U	NA
nscaf1071	26	26.3
nscaf1087	U	NA
nscaf109	U	NA
nscaf1108	24	24.3
nscaf1136	U	NA
nscaf125	17	17.2
nscaf128	U	NA
nscaf1289	2	2.5
nscaf1299	19	19.5
nscaf1375	U	NA
nscaf1459	U	NA
nscaf1485	U	63
nscaf1495	U	NA
nscaf1516	U	NA
nscaf1531	U	67
nscaf1533	U	NA
nscaf1554	U	NA
nscaf1566	U	NA
nscaf1632	U	NA
nscaf1681	22	22.3
nscaf1690	1	1.2
nscaf1705	25	25.1
nscaf1732	U	51
nscaf1743	U	NA
nscaf1806	U	NA
nscaf1830	U	69
nscaf1867	U	NA
nscaf1869	U	NA
nscaf1882	U	NA
nscaf1886	U	NA
nscaf1898	13	13.2
nscaf1962	23	23.1
nscaf1986	U	72
nscaf1987	U	NA
nscaf20	U	NA
nscaf2014	U	NA
nscaf2053	2	2.6
nscaf2108	U	NA
nscaf2110	U	NA
nscaf2136	21	21.5
nscaf2176	11	11.1
nscaf2204	19	19.2
nscaf2210	1	1.1
nscaf2216	15	15.4
nscaf2253	U	NA
nscaf2273	U	NA
nscaf2279	6	6.6
nscaf2330	26	26.2
nscaf2359	U	NA
nscaf2360	U	NA
nscaf2366	U	79
nscaf2371	U	NA
nscaf2398	21	21.4
nscaf2408	U	NA
nscaf2439	U	NA
nscaf2457	U	NA
nscaf2511	9	9.6
nscaf2529	5	5.3
nscaf2556	6	6.7
nscaf2564	U	56
nscaf2571	U	NA
nscaf2575	10	10.5
nscaf2589	4	4.4
nscaf2623	2	2.1
nscaf2641	U	NA
nscaf2655	15	15.3
nscaf2674	5	5.5
nscaf2681	4	4.5
nscaf2686	24	24.9
nscaf2690	U	NA
nscaf2734	1	1.5
nscaf2758	U	NA
nscaf2759	17	17.7
nscaf2761	U	82
nscaf2763	U	NA
nscaf2766	17	17.8
nscaf2767	19	19.3
nscaf2770	19	19.4
nscaf2779	U	NA
nscaf2780	20	20.6
nscaf2781	20	20.5
nscaf2782	U	NA
nscaf2783	20	NA
nscaf2789	20	20.4
nscaf2792	U	85
nscaf2793	U	86
nscaf2795	20	20.3
nscaf2796	U	NA
nscaf2797	27	NA
nscaf2800	27	27.6
nscaf2801	27	27.7
nscaf2803	U	NA
nscaf2804	U	NA
nscaf2808	U	NA
nscaf2809	U	NA
nscaf2810	11	11.7
nscaf2811	22	22.9
nscaf2813	22	22.8
nscaf2814	22	22.7
nscaf2815	25	25.6
nscaf2818	25	25.2
nscaf2819	25	25.5
nscaf2822	25	25.3
