Bmo_Pep Pra_Pep Bmo_Nscaff Bmo_Nscaff_Pep_Start Bmo_Nscaff_Pep_End Bmo_Chrom Bmo_Nscaf_Order_within_Chrom
BGIBMGA000001-PA pra105.24 nscaf1022 11153 14469 U NA
BGIBMGA000002-PA pra714.17 nscaf1071 1212361 1232913 26 26.3
BGIBMGA000002-PA pra755.23 nscaf1071 1212361 1232913 26 26.3
BGIBMGA000006-PA pra714.20 nscaf1071 992334 993294 26 26.3
BGIBMGA000008-PA pra3516.15 nscaf1071 850983 851744 26 26.3
BGIBMGA000008-PA pra430.28 nscaf1071 850983 851744 26 26.3
BGIBMGA000009-PA pra3516.13 nscaf1071 820371 828580 26 26.3
BGIBMGA000010-PA pra3516.12 nscaf1071 807853 813664 26 26.3
BGIBMGA000010-PA pra3516.7 nscaf1071 807853 813664 26 26.3
BGIBMGA000011-PA pra3516.11 nscaf1071 788764 795081 26 26.3
BGIBMGA000012-PA pra3516.10 nscaf1071 771716 776937 26 26.3
BGIBMGA000012-PA pra3516.9 nscaf1071 771716 776937 26 26.3
BGIBMGA000014-PA pra3516.4 nscaf1071 670411 670764 26 26.3
BGIBMGA000015-PA pra3516.3 nscaf1071 649719 656921 26 26.3
BGIBMGA000016-PA pra236.1 nscaf1071 450075 456503 26 26.3
BGIBMGA000025-PA pra236.5 nscaf1071 262711 273107 26 26.3
BGIBMGA000027-PA pra714.13 nscaf1071 159487 179915 26 26.3
BGIBMGA000028-PA pra236.7 nscaf1071 120511 127469 26 26.3
BGIBMGA000029-PA pra236.9 nscaf1071 110512 111633 26 26.3
BGIBMGA000030-PA pra714.2 nscaf1071 47781 59237 26 26.3
BGIBMGA000031-PA pra714.3 nscaf1071 29202 44775 26 26.3
BGIBMGA000032-PA pra240.21 nscaf1071 74257 87000 26 26.3
BGIBMGA000032-PA pra714.1 nscaf1071 74257 87000 26 26.3
BGIBMGA000033-PA pra236.10 nscaf1071 90399 98934 26 26.3
BGIBMGA000034-PA pra236.8 nscaf1071 111886 116158 26 26.3
BGIBMGA000038-PA pra236.2 nscaf1071 392663 393260 26 26.3
BGIBMGA000038-PA pra236.3 nscaf1071 392663 393260 26 26.3
BGIBMGA000038-PA pra236.4 nscaf1071 392663 393260 26 26.3
BGIBMGA000040-PA pra3516.1 nscaf1071 584271 584699 26 26.3
