"CHROM","POS","MEAN_DEPTH","VAR_DEPTH","RADtag"
"scaffold1006_cov80",5957,52.8873,544.674,1
"scaffold1006_cov80",5961,52.9338,545.686,1
"scaffold1006_cov80",7706,94.4687,3082.07,2
"scaffold1006_cov80",7712,94.3775,3071.05,2
"scaffold1006_cov80",7724,94.4687,3083.47,2
"scaffold1006_cov80",18949,76.814,1661.21,3
"scaffold1006_cov80",57249,75.4132,1574.82,4
"scaffold1006_cov80",60534,117.385,3033.28,5
"scaffold1006_cov80",60537,116.93,3066.51,5
"scaffold1006_cov80",63218,53.2415,530.488,6
"scaffold1006_cov80",63249,53.2934,548.706,6
"scaffold1006_cov80",63263,53.288,547.191,6
"scaffold1006_cov80",84714,40.5832,499.72,7
"scaffold1006_cov80",84735,39.6118,491.371,7
"scaffold1006_cov80",84741,40.0894,492.497,7
"scaffold1006_cov80",84760,40.3095,494.383,7
"scaffold1006_cov80",84801,97.9284,2102.18,8
"scaffold1006_cov80",88708,79.0698,2106.16,9
"scaffold1006_cov80",88735,79.025,2105.31,9
"scaffold1006_cov80",88741,79.0125,2103.9,9
"scaffold1006_cov80",88883,58.3256,855.768,10
"scaffold1006_cov80",100947,90.0394,1869.45,11
"scaffold1007_cov83",8104,66.941,1808.58,12
"scaffold1007_cov83",8120,67.136,1804.93,12
"scaffold1007_cov83",13021,78.9517,1535.45,13
"scaffold1007_cov83",13022,78.975,1536.85,13
"scaffold1007_cov83",58407,72.907,1264.91,14
"scaffold1007_cov83",58414,72.932,1264.55,14
"scaffold1007_cov83",58461,73.1628,1261.57,14
"scaffold1007_cov83",78389,124.37,2599.61,15
"scaffold1007_cov83",128818,93.4168,1998.42,16
"scaffold1007_cov83",128831,93.4114,1999.11,16
"scaffold1007_cov83",128836,93.3363,2001.01,16
"scaffold1007_cov83",131688,71.8998,949.814,17
"scaffold1007_cov83",138120,100.36,2053.84,18
"scaffold1007_cov83",138147,100.172,2057.92,18
"scaffold1007_cov83",151170,41.1216,437.06,19
"scaffold1007_cov83",153887,125.83,2849.62,20
"scaffold1007_cov83",153890,126.394,2873.9,20
"scaffold1007_cov83",153899,126.352,2874.62,20
"scaffold1007_cov83",153914,126.404,2873.42,20
"scaffold1007_cov83",153915,126.465,2865.36,20
"scaffold1007_cov83",164579,44.2057,528.83,21
"scaffold1007_cov83",167912,54.7925,551.778,22
"scaffold1007_cov83",167925,55.1073,544.569,22
"scaffold1007_cov83",167934,56.3077,590.497,22
"scaffold1007_cov83",168021,84.5152,2158.68,23
"scaffold1007_cov83",168025,84.1807,2167.46,23
"scaffold1011_cov85",3201,31.7013,195.095,24
"scaffold1011_cov85",12392,43.0394,491.769,25
"scaffold1011_cov85",12403,42.8801,490.328,25
"scaffold1011_cov85",12409,42.9785,491.268,25
"scaffold1011_cov85",45818,101.084,3501.74,26
"scaffold1011_cov85",64452,56.381,1572.21,27
"scaffold1011_cov85",80746,81.9016,1842.1,28
"scaffold1011_cov85",80791,83.0447,1931.66,28
"scaffold1011_cov85",80806,83.3005,1944.31,28
"scaffold1011_cov85",81203,86.907,1780.7,29
"scaffold1011_cov85",81209,87.0376,1773.84,29
"scaffold1011_cov85",81224,87.093,1766.65,29
"scaffold1011_cov85",87439,47.1288,536.324,30
"scaffold1011_cov85",87510,70.8784,1127.49,30
"scaffold1011_cov85",87527,71.0841,1122.64,31
"scaffold1011_cov85",153186,120.726,3008.79,32
"scaffold1011_cov85",179327,39.7352,347.55,33
"scaffold1011_cov85",179641,51.3828,546.287,34
"scaffold1011_cov85",201573,85.2612,1867.4,35
"scaffold1011_cov85",221948,65.6386,1184.53,36
"scaffold1011_cov85",221951,65.6601,1179.97,36
"scaffold1011_cov85",221968,68.9696,1115.56,36
"scaffold1011_cov85",221992,69.2487,1111.27,36
"scaffold1011_cov85",222004,68.5617,1138.77,36
"scaffold1011_cov85",223731,88.3667,1911.27,37
"scaffold1011_cov85",223737,88.424,1907.58,37
"scaffold1011_cov85",223774,88.6583,1895.3,37
"scaffold1011_cov85",223812,89.4615,2017.93,38
"scaffold1011_cov85",265350,65.7388,918.541,39
"scaffold1011_cov85",265356,65.6673,924.799,39
"scaffold1011_cov85",265372,65.5045,918.917,39
"scaffold1011_cov85",265390,65.6655,924.184,39
"scaffold1011_cov85",291467,94.9696,2522.51,40
"scaffold1021_cov90",14712,81.5599,2441.82,41
"scaffold1021_cov90",26232,53.7156,647.376,42
"scaffold1021_cov90",26242,53.703,648.17,42
"scaffold1021_cov90",80892,34.4383,287.293,43
"scaffold1021_cov90",189262,78.9428,2003.37,44
"scaffold1021_cov90",195667,117.018,5227.87,45
"scaffold1021_cov90",195684,116.784,5215.37,45
"scaffold1021_cov90",195685,117.147,5239.07,45
"scaffold1021_cov90",216688,76.9499,1582.36,46
"scaffold1021_cov90",216689,76.9571,1581.43,46
"scaffold1021_cov90",216731,32.6029,276.777,46
"scaffold1021_cov90",216732,32.6655,276.37,46
"scaffold1021_cov90",216779,32.6351,278.451,47
"scaffold1021_cov90",218142,52.2415,714.832,48
"scaffold1021_cov90",261754,40.8247,346.553,49
"scaffold1021_cov90",261779,40.9553,347.656,49
"scaffold1021_cov90",272283,105.242,2315.72,50
"scaffold1021_cov90",272292,105.238,2316.42,50
"scaffold1021_cov90",273420,79.0286,1232.2,51
"scaffold1021_cov90",273442,78.9803,1232.07,51
"scaffold1021_cov90",273451,78.9875,1230.13,51
"scaffold1021_cov90",273475,78.7979,1226.21,51
"scaffold1021_cov90",288068,66.1521,756.95,52
